id,day_of_the_month,days,option,sequence,value,value_amount,payment_id
__export__.account_payment_term_line_84_8ccd0138,0,0,day(s) after the invoice date,9,Balance,0,account.account_payment_term_immediate
__export__.account_payment_term_line_91_eabbe578,0,0,day(s) after the invoice date,9,Balance,0,__export__.account_payment_term_66_bfc6e80f
__export__.account_payment_term_line_45_47b0093f,0,10,day(s) after the invoice date,10,Percent,99.5,__export__.account_payment_term_33_8fa07056
__export__.account_payment_term_line_46_2ea75978,0,30,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_33_8fa07056
__export__.account_payment_term_line_47_b62ee271,0,15,day(s) after the invoice date,10,Percent,99,__export__.account_payment_term_34_e0bcfcb1
__export__.account_payment_term_line_48_5c25d0c7,0,30,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_34_e0bcfcb1
__export__.account_payment_term_line_49_f678f545,0,10,day(s) after the invoice date,10,Percent,99,__export__.account_payment_term_35_1ebb7ff1
__export__.account_payment_term_line_50_712e9517,0,30,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_35_1ebb7ff1
__export__.account_payment_term_line_51_0e839b46,10,10,of the following month,10,Percent,99,__export__.account_payment_term_36_8d8bc99d
__export__.account_payment_term_line_52_f67d5d65,0,30,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_36_8d8bc99d
__export__.account_payment_term_line_53_c8642e7f,25,25,of the current month,10,Percent,99,__export__.account_payment_term_37_1d98fda8
__export__.account_payment_term_line_54_67f83e3c,0,26,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_37_1d98fda8
__export__.account_payment_term_line_55_563fac55,0,10,day(s) after the invoice date,10,Percent,99,__export__.account_payment_term_38_a59828e5
__export__.account_payment_term_line_56_50695931,0,11,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_38_a59828e5
__export__.account_payment_term_line_57_0018fce6,0,10,day(s) after the invoice date,10,Percent,98,__export__.account_payment_term_39_848a0032
__export__.account_payment_term_line_58_dcf24756,20,20,of the current month,10,Balance,0,__export__.account_payment_term_39_848a0032
__export__.account_payment_term_line_59_44c12cb6,0,10,day(s) after the invoice date,10,Percent,98,__export__.account_payment_term_40_b1fe973e
__export__.account_payment_term_line_60_7115eb98,0,30,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_40_b1fe973e
__export__.account_payment_term_line_61_e04a5208,0,15,day(s) after the invoice date,10,Percent,98,__export__.account_payment_term_41_6a1ccd2a
__export__.account_payment_term_line_62_8fa25adf,0,30,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_41_6a1ccd2a
__export__.account_payment_term_line_63_2416467c,10,10,of the current month,10,Balance,0,__export__.account_payment_term_42_273356e6
__export__.account_payment_term_line_64_913f9f09,0,10,day(s) after the invoice date,10,Percent,96,__export__.account_payment_term_43_806e96fa
__export__.account_payment_term_line_65_daecab9b,0,30,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_43_806e96fa
__export__.account_payment_term_line_66_e4816cb0,0,0,day(s) after the invoice date,10,Percent,95,__export__.account_payment_term_44_0239c550
__export__.account_payment_term_line_67_b8223c62,0,10,day(s) after the invoice date,10,Balance,0,__export__.account_payment_term_44_0239c550
__export__.account_payment_term_line_68_3cf0f0f7,0,0,day(s) after the invoice date,10,Percent,95,__export__.account_payment_term_45_e696d7c8
__export__.account_payment_term_line_69_0b2b14f9,31,31,of the current month,10,Balance,0,__export__.account_payment_term_45_e696d7c8
